name,genres
Dua Lipa,"['dance pop', 'pop', 'pop dance', 'uk pop']"
Frank Sinatra,"['adult standards', 'easy listening', 'lounge']"
Daft Punk,"['electro', 'filter house']"
Bastille,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
Elvis Presley,"['rock-and-roll', 'rockabilly']"
Seether,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
Bing Crosby,"['adult standards', 'easy listening']"
Ella Fitzgerald,"['adult standards', 'jazz blues', 'swing', 'vocal jazz']"
Danny Elfman,['soundtrack']
Etta James,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
Water Sound Natural White Noise,"['sleep', 'white noise']"
Billie Holiday,"['adult standards', 'harlem renaissance', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']"
Perry Como,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
Moby,"['downtempo', 'electronica']"
Ray Charles,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']"
Count Basie,"['adult standards', 'bebop', 'big band', 'cool jazz', 'harlem renaissance', 'jazz', 'jazz piano', 'lounge', 'stride', 'swing', 'vocal jazz']"
Alice Cooper,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
Blind Melon,"['alternative metal', 'alternative rock', 'blues rock', 'grunge', 'pop rock', 'rock']"
Ennio Morricone,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']"
Lea Salonga,"['hollywood', 'movie tunes', 'show tunes', 'tagalog worship']"
Herbert von Karajan,"['classical', 'classical performance', 'orchestral performance']"
Benny Benassi,"['big room', 'disco house', 'edm', 'electro house', 'pop dance']"
Duke Ellington,"['adult standards', 'african-american classical', 'bebop', 'big band', 'cool jazz', 'harlem renaissance', 'jazz', 'jazz piano', 'lounge', 'swing', 'vocal jazz']"
Dion,"['adult standards', 'brill building pop', 'doo-wop', 'lounge', 'rock-and-roll', 'rockabilly']"
Smokey Robinson & The Miracles,"['brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Styles Of Beyond,"['cali rap', 'rap rock']"
André Previn,['orchestral performance']
Ritchie Valens,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']"
The Ink Spots,"['adult standards', 'big band', 'lounge', 'swing', 'vocal harmony group', 'vocal jazz']"
Emeli Sandé,"['dance pop', 'neo soul', 'pop', 'r&b', 'uk pop']"
Philadelphia Orchestra,"['american orchestra', 'classical performance', 'orchestra']"
Glenn Miller,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']"
Eartha Kitt,"['adult standards', 'lounge', 'torch song', 'vocal jazz']"
Giacomo Puccini,"['classical', 'italian opera', 'italian romanticism', 'post-romantic era']"
Yann Tiersen,"['bow pop', 'compositional ambient', 'french soundtrack']"
Thelonious Monk,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz piano', 'vocal jazz']"
Oscar Peterson Trio,"['adult standards', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz trio', 'stride', 'swing', 'vocal jazz']"
Tom Jones,"['adult standards', 'british invasion', 'mellow gold']"
G. Love & Special Sauce,"['jam band', 'reggae rock']"
Naughty Boy,['uk contemporary r&b']
Thunder Storm,"['environmental', 'sleep']"
DIAMANTE,"['pixie', 'slayer']"
"Choir of King's College, Cambridge","['british choir', 'cambridge choir', 'choral']"
Los Fugitivos,"['grupera', 'gruperas inmortales', 'regional mexican']"
Stacey Kent,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']"
Rain Sounds & White Noise,"['environmental', 'sleep']"
Twin Shadow,"['alternative dance', 'art pop', 'chillwave', 'electropop', 'indie pop', 'indietronica', 'metropopolis', 'shimmer pop']"
Boston Symphony Orchestra,"['american orchestra', 'classical', 'classical performance', 'orchestra']"
Bill Evans Trio,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trio', 'soul jazz', 'stride']"
Sarah Vaughan,"['adult standards', 'bebop', 'cool jazz', 'jazz', 'lounge', 'swing', 'torch song', 'vocal jazz']"
Boris Karloff,['drama']
Relajación,['sleep']
Giuseppe Verdi,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']"
Edward Maya,['romanian pop']
"Soothing White Noise for Infant Sleeping and Massage, Crying & Colic Relief",['sleep']
Eagles Of Death Metal,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'palm desert scene', 'punk blues', 'rock']"
